variance,entropy,type
0.08333333333333333,1.4750763110486949,structured
0.022222222222222227,1.2798542258296675,structured
0.14583333333333337,1.557560461650866,structured
0.15333333333333335,1.4964159349351391,structured
0.0,0.0,structured
0.11138888888888887,1.515780211739635,structured
0.12333333333333334,1.5029045168091293,structured
0.04555555555555555,1.704551445261297,structured
0.24222222222222223,1.5639148630538506,structured
0.13333333333333333,1.4066777022443078,structured
0.03555555555555557,1.2130075659759043,structured
0.0,0.0,structured
0.028888888888888884,1.6957425341636347,structured
0.028888888888888884,1.6957425341636347,structured
0.09555555555555556,1.468060203493046,structured
0.0,0.0,structured
0.03222222222222223,0.9002560512655369,structured
0.003333333333333332,0.6931471805579453,structured
0.04222222222222224,1.0888999753412236,structured
0.0013888888888888883,-1.000088900581841e-12,structured
0.08805555555555555,1.410513557108838,structured
0.0588888888888889,1.5832584594144767,structured
0.042222222222222223,1.5832584594144767,structured
0.06138888888888886,1.410513557108838,structured
0.02805555555555556,1.6769877743164172,structured
0.0588888888888889,1.5832584594144767,structured
0.022222222222222227,-1.000088900581841e-12,structured
0.0,0.0,structured
0.008888888888888887,1.0397207708369178,structured
0.045833333333333344,0.8486855577234171,structured
0.10805555555555559,1.2852930241140992,structured
0.09555555555555556,1.468060203493046,structured
0.01805555555555556,1.0042424730510764,structured
0.00583333333333333,0.6365141682928128,structured
0.03138888888888889,0.796311640170813,structured
0.0013888888888888883,-1.000088900581841e-12,structured
0.19888888888888892,1.4135723866507024,structured
0.0,0.0,structured
0.14000000000000004,1.3862943611138905,structured
0.06555555555555558,0.3767701612544368,structured
0.06472222222222224,1.0905994737754787,structured
0.09805555555555556,0.8855741515726718,structured
0.10000000000000003,0.6390318596471769,structured
0.028888888888888895,1.2206072645490174,structured
0.012222222222222226,0.5623351446168083,structured
0.005833333333333334,0.6365141682928128,structured
0.005555555555555557,-1.000088900581841e-12,structured
0.03222222222222223,1.2554823251747536,structured
0.005833333333333334,0.6365141682928128,structured
0.15583333333333335,1.5306052420529421,structured
0.2355555555555556,1.4706181571989005,structured
0.003333333333333332,0.6931471805579453,structured
0.055833333333333346,1.4142790651197084,structured
0.005555555555555557,-1.000088900581841e-12,structured
0.0713888888888889,1.1569876443412743,structured
0.14138888888888893,0.6901856760168043,structured
0.16249999999999998,1.2381696412189656,structured
0.011388888888888893,1.3321790402061222,structured
0.2288888888888889,1.4469978641862726,structured
0.01888888888888889,1.7328679513938632,structured
0.012500000000000006,-1.000088900581841e-12,structured
0.005833333333333334,0.6365141682928128,structured
